Time (CET),Day-ahead Total Load Forecast [MW] - BZN|ES,Actual Total Load [MW] - BZN|ES
01.01.2015 00:00 - 01.01.2015 01:00,26118.0,25385.0
01.01.2015 01:00 - 01.01.2015 02:00,24934.0,24382.0
01.01.2015 02:00 - 01.01.2015 03:00,23515.0,22734.0
01.01.2015 03:00 - 01.01.2015 04:00,22642.0,21286.0
01.01.2015 04:00 - 01.01.2015 05:00,21785.0,20264.0
01.01.2015 05:00 - 01.01.2015 06:00,21441.0,19905.0
01.01.2015 06:00 - 01.01.2015 07:00,21285.0,20010.0
01.01.2015 07:00 - 01.01.2015 08:00,21545.0,20377.0
01.01.2015 08:00 - 01.01.2015 09:00,21443.0,20094.0
01.01.2015 09:00 - 01.01.2015 10:00,21560.0,20637.0
01.01.2015 10:00 - 01.01.2015 11:00,22824.0,22250.0
01.01.2015 11:00 - 01.01.2015 12:00,23720.0,23547.0
01.01.2015 12:00 - 01.01.2015 13:00,24180.0,24133.0
01.01.2015 13:00 - 01.01.2015 14:00,24797.0,24713.0
01.01.2015 14:00 - 01.01.2015 15:00,25222.0,24672.0
01.01.2015 15:00 - 01.01.2015 16:00,24173.0,23528.0
01.01.2015 16:00 - 01.01.2015 17:00,23659.0,23118.0
01.01.2015 17:00 - 01.01.2015 18:00,23982.0,23606.0
01.01.2015 18:00 - 01.01.2015 19:00,26981.0,26447.0
01.01.2015 19:00 - 01.01.2015 20:00,28515.0,28020.0
01.01.2015 20:00 - 01.01.2015 21:00,30482.0,29014.0
01.01.2015 21:00 - 01.01.2015 22:00,30739.0,29571.0
01.01.2015 22:00 - 01.01.2015 23:00,29756.0,29031.0
01.01.2015 23:00 - 02.01.2015 00:00,27589.0,26798.0
02.01.2015 00:00 - 02.01.2015 01:00,23959.0,24298.0
02.01.2015 01:00 - 02.01.2015 02:00,21692.0,21881.0
02.01.2015 02:00 - 02.01.2015 03:00,20247.0,20495.0
02.01.2015 03:00 - 02.01.2015 04:00,19529.0,19730.0
02.01.2015 04:00 - 02.01.2015 05:00,19198.0,19500.0
02.01.2015 05:00 - 02.01.2015 06:00,19821.0,20113.0
02.01.2015 06:00 - 02.01.2015 07:00,21620.0,22153.0
02.01.2015 07:00 - 02.01.2015 08:00,24379.0,
02.01.2015 08:00 - 02.01.2015 09:00,27389.0,
02.01.2015 09:00 - 02.01.2015 10:00,30619.0,
02.01.2015 10:00 - 02.01.2015 11:00,32419.0,32383.0
02.01.2015 11:00 - 02.01.2015 12:00,32029.0,32358.0
02.01.2015 12:00 - 02.01.2015 13:00,31357.0,
02.01.2015 13:00 - 02.01.2015 14:00,31338.0,
02.01.2015 14:00 - 02.01.2015 15:00,30874.0,
02.01.2015 15:00 - 02.01.2015 16:00,30124.0,
02.01.2015 16:00 - 02.01.2015 17:00,29714.0,
02.01.2015 17:00 - 02.01.2015 18:00,29801.0,
02.01.2015 18:00 - 02.01.2015 19:00,32257.0,
02.01.2015 19:00 - 02.01.2015 20:00,33183.0,
02.01.2015 20:00 - 02.01.2015 21:00,34839.0,33955.0
02.01.2015 21:00 - 02.01.2015 22:00,34392.0,33851.0
02.01.2015 22:00 - 02.01.2015 23:00,32614.0,32324.0
02.01.2015 23:00 - 03.01.2015 00:00,30236.0,29866.0
03.01.2015 00:00 - 03.01.2015 01:00,25995.0,27243.0
03.01.2015 01:00 - 03.01.2015 02:00,23763.0,24723.0
03.01.2015 02:00 - 03.01.2015 03:00,22030.0,22861.0
03.01.2015 03:00 - 03.01.2015 04:00,20996.0,21963.0
03.01.2015 04:00 - 03.01.2015 05:00,20478.0,21540.0
03.01.2015 05:00 - 03.01.2015 06:00,20505.0,21642.0
03.01.2015 06:00 - 03.01.2015 07:00,21061.0,22434.0
03.01.2015 07:00 - 03.01.2015 08:00,22175.0,23787.0
